10	14	37	41	49	3
18	26	35	36	49	4
17	23	24	27	47	10
8	9	15	29	43	13
15	28	33	36	42	2
7	9	23	27	43	1
13	20	27	34	36	10
6	7	11	26	37	3
3	9	18	22	34	7
5	15	16	23	49	13
4	12	14	16	25	9
8	9	18	23	46	6
18	19	26	30	39	5
3	11	14	16	38	2
7	14	42	43	45	3
8	11	16	20	31	2
4	16	19	26	30	10
12	21	41	43	49	2
2	7	20	24	44	1
17	18	34	40	42	1
1	4	7	18	32	7
4	7	13	28	35	12
2	4	17	29	41	10
2	7	22	25	39	7
24	29	30	37	47	11
8	14	17	20	40	7
10	21	31	35	40	9
11	28	35	36	40	7
28	29	34	42	46	2
4	20	27	33	43	10
3	11	19	20	21	3
9	15	19	20	48	7
5	19	20	25	40	10
9	13	14	31	48	5
5	38	44	48	49	3
4	6	22	26	27	8
2	23	26	36	45	4
1	2	17	21	43	10
23	25	31	33	44	1
22	26	30	31	42	1
6	23	32	35	40	4
2	7	18	24	38	9
12	23	27	38	42	7
1	3	16	21	47	3
9	12	41	43	44	9
4	28	31	44	49	4
8	25	32	47	49	9
8	12	15	23	47	1
15	19	23	38	46	10
6	13	25	37	48	9
16	25	36	47	48	7
5	30	31	40	45	3
3	6	13	38	45	4
10	26	39	46	49	3
1	2	11	35	42	4
10	18	19	28	30	5
9	20	24	27	35	12
4	9	14	23	45	2
12	14	18	22	40	3
1	3	18	31	39	1
11	17	21	29	46	10
2	18	30	35	46	3
2	11	18	31	35	1
14	18	21	35	45	8
7	14	30	36	46	3
4	8	27	32	48	4
1	6	10	26	48	13
8	16	22	23	45	9
14	29	33	44	45	11
23	24	30	36	47	3
7	26	39	47	48	10
8	10	21	26	37	11
4	11	20	26	33	8
11	17	20	36	47	12
8	13	24	34	47	1
9	24	36	40	46	9
13	16	20	34	44	9
10	21	35	39	48	11
2	9	26	36	46	2
7	25	31	36	47	13
6	27	38	40	49	2
15	32	33	34	45	8
1	21	34	39	49	9
6	28	39	40	42	7
2	3	29	38	41	11
6	18	21	41	48	2
13	15	17	27	30	8
13	20	27	43	47	1
3	4	14	28	30	10
1	2	33	46	48	5
26	32	34	38	41	4
