evidence_rank,agent,agent_label,rank_within_agent,main_draw,auxiliary_draw,backtest_consistency_pct,backtest_mean_roi_alpha_pp,history_cutoff,score_status,commitment_sha256
60,coordinated_aggregation,Coordinator,6,2 3 6 8 14 27,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,448d5f0490fb010bae8b8e10a3792fc8426f766e5fffe1e9d4f53d33bfb6a547
61,parallax,Parallax guard,7,4 11 12 28 30 39,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,5c0c6aa26e1a0ceee0a993f188c4715c8c458649c393a735fa7d140e7dd223a6
62,coordinated_aggregation,Coordinator,7,4 11 12 28 30 39,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,6ae6198e301b21b096a6201c5c13c424ac0dfe01e9b07c6167308756df607934
63,parallax,Parallax guard,8,1 7 10 18 36 45,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,bec901061f44f56f0db3a8ce0ba727c609914a1f76785ac0ea210c5cc4ac3f02
64,coordinated_aggregation,Coordinator,8,1 7 10 18 36 45,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,eb0145da5bfdead0633da38554c9e397ffe6fcb82e836e55aa2a7be712b4ca88
65,parallax,Parallax guard,9,5 21 33 34 39 41,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,02ad589d28aa597c5b126557db9f239defeca727f14e15cd4fe882b06ce11ae4
66,coordinated_aggregation,Coordinator,9,5 21 33 34 39 41,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,2fdf53dd883758133349dffe6f77a614212cf7c7c527f795394c572757bbe357
67,parallax,Parallax guard,10,26 27 31 35 37 38,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,01fe44ce3b25d121b408dbf66b2e967ad2e0349585e71ecf833b83527d29c548
68,coordinated_aggregation,Coordinator,10,26 27 31 35 37 38,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,1621b3a2ebf2f5ed65df903e44d41b16310a1248063980cb244f0404e4716aeb
69,parallax,Parallax guard,11,20 25 30 35 36 43,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,ac5f4c9da81b6f0256e172f1243954ed318dcd8e2d1a76ea2dbc5ec99a975328
70,coordinated_aggregation,Coordinator,11,20 25 30 35 36 43,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,1c1adf42f3e12c51503e9a9dc27515fa2092a426327a4d01e8ea0a3c14e8847d
71,parallax,Parallax guard,12,1 19 27 40 41 44,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,4384866762b4c12e550639b2d4953068b56ab7b0206d7b96ee1e11be6d4700c3
72,coordinated_aggregation,Coordinator,12,1 19 27 40 41 44,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,38c2e08a301e87eff65f94129c83da9d87d2b54fe5c042c00c25956a6ea7ee4c
